Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,handshake,11108,0,450.0,481.7211188655008,119.61453200001415,2312.0059530001527,61.97695354699316,186.22623128925233,0.0,450,530,570,590,690,840,1300,1500,2300,2300,2300
,Aggregated,11108,0,450.0,481.7211188655008,119.61453200001415,2312.0059530001527,61.97695354699316,186.22623128925233,0.0,450,530,570,590,690,840,1300,1500,2300,2300,2300
