num_streams,rss_mb,fds_open,cpu_percent,ts,N
60,133.492736,132,0.9200000000000002,1758727511.305362,60
60,133.554176,132,1.92,1758727513.309681,60
60,133.558272,132,2.0400000000000005,1758727515.3128362,60
60,133.59104,132,2.1200000000000006,1758727517.315487,60
60,133.59104,132,2.4950000000000014,1758727519.318345,60
60,133.644288,132,2.865000000000001,1758727521.320168,60
60,133.644288,132,2.079999999999999,1758727523.321793,60
60,133.648384,132,2.0450000000000004,1758727525.323354,60
60,133.648384,132,1.98,1758727527.324832,60
60,133.648384,132,1.86,1758727529.3261518,60
