num_streams,rss_mb,fds_open,cpu_percent,ts,N
30,131.985408,72,0.6049999999999998,1758727486.174432,30
30,132.038656,72,1.27,1758727488.178265,30
30,132.038656,72,1.3100000000000003,1758727490.180937,30
30,132.042752,72,1.3450000000000002,1758727492.18403,30
30,132.042752,72,1.6350000000000002,1758727494.186552,30
30,132.042752,72,1.8800000000000003,1758727496.187946,30
30,132.042752,72,1.345,1758727498.1894138,30
30,132.042752,72,1.3900000000000001,1758727500.191009,30
30,132.042752,72,1.3750000000000002,1758727502.19275,30
30,132.042752,72,1.2550000000000001,1758727504.1949792,30
