num_streams,rss_mb,fds_open,cpu_percent,ts,N
10,130.678784,32,,1758727461.087807,10
10,130.715648,32,2.3,1758727463.090063,10
10,130.719744,32,1.3499999999999999,1758727465.092323,10
10,130.719744,32,1.0166666666666664,1758727467.094105,10
10,130.732032,32,0.8499999999999998,1758727469.096158,10
10,130.732032,32,0.7649999999999998,1758727471.097504,10
10,130.732032,32,0.37499999999999994,1758727473.0988731,10
10,130.732032,32,0.3699999999999999,1758727475.100724,10
10,130.732032,32,0.36999999999999994,1758727477.1039958,10
10,130.732032,32,0.45999999999999996,1758727479.107512,10
