num_streams,rss_mb,fds_open,cpu_percent,ts,N
60,131.088384,133,1.2,1760545020.133803,60
60,131.219456,133,3.195,1760545022.13654,60
60,131.219456,133,3.2950000000000004,1760545024.1507092,60
60,131.219456,133,3.495,1760545026.1528895,60
60,131.219456,133,3.995,1760545028.1553946,60
60,131.219456,133,4.295,1760545030.1579177,60
60,131.219456,133,2.4,1760545032.1613748,60
60,131.219456,133,2.4,1760545034.166329,60
60,131.4816,133,2.1,1760545036.1714208,60
60,131.4816,133,2.0,1760545038.2214496,60
