N,peak_rss_mb,avg_cpu_percent,avg_fds_open,avg_ttfb_ms,p95_ttfb_ms,avg_events_per_sec
10,126.742528,1.5898148148148148,33.0,13.497786400006362,15.665828999976839,1.0470272976723678
30,129.122304,1.4900000000000002,73.0,50.45124949999907,56.86782520000406,1.0457010287248845
60,131.4816,2.8375,133.0,62.84746036666983,68.36617425002487,1.0433796720738426
100,134.234112,3.8939999999999992,213.0,73.8617809499999,85.0980246999967,1.0443974475552436
500,146.030592,6.352499999999999,213.0,16396.454661074,20657.230465450044,0.24744736655931185
1000,160.9728,9.536999999999999,213.0,18741.066600658996,21388.232127600004,0.1473047755376597
