num_streams,rss_mb,fds_open,cpu_percent,ts,N
1000,160.710656,213,15.915000000000001,1760545098.3540053,1000
1000,160.9728,213,19.905,1760545100.3570647,1000
1000,160.9728,213,13.12,1760545102.3589106,1000
1000,160.9728,213,13.719999999999999,1760545104.3641238,1000
1000,160.9728,213,14.319999999999999,1760545106.3695369,1000
1000,160.9728,213,6.890000000000001,1760545108.3736715,1000
1000,160.9728,213,3.0,1760545110.3774047,1000
1000,160.9728,213,2.9,1760545112.3804889,1000
1000,160.9728,213,2.8,1760545114.3832018,1000
1000,160.9728,213,2.8,1760545116.384752,1000
