num_streams,rss_mb,fds_open,cpu_percent,ts,N
100,133.840896,213,2.79,1760545045.5020087,100
100,134.234112,213,4.885,1760545047.5057273,100
100,134.234112,213,4.89,1760545049.510046,100
100,134.234112,213,4.89,1760545051.5147738,100
100,134.234112,213,5.39,1760545053.5190637,100
100,134.234112,213,4.595000000000001,1760545055.5242805,100
100,134.234112,213,2.9,1760545057.529551,100
100,134.234112,213,2.9,1760545059.5329998,100
100,134.234112,213,2.8,1760545061.5389228,100
100,134.234112,213,2.9,1760545063.5447545,100
