num_streams,rss_mb,fds_open,cpu_percent,ts,N
500,60.305408,10,8.84,1760292673.3638375,500
500,62.271488,109,9.84,1760292675.3855772,500
500,62.271488,109,9.440000000000001,1760292677.3906589,500
500,62.271488,109,9.940000000000001,1760292679.3951747,500
500,62.271488,109,10.540000000000001,1760292681.3994331,500
500,62.271488,109,3.7,1760292683.4031055,500
500,62.271488,109,2.8,1760292685.4071176,500
500,62.271488,109,2.6,1760292687.411631,500
500,62.271488,109,2.7,1760292689.41609,500
500,62.271488,109,2.6,1760292691.4190543,500
