Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,validate_2048B_d5,8830,0,550.0,619.9203507684082,107.60190400014835,6028.050095000253,43.457870894677235,150.22193025599574,0.0,550,620,680,710,850,950,1000,5700,6000,6000,6000
,Aggregated,8830,0,550.0,619.9203507684082,107.60190400014835,6028.050095000253,43.457870894677235,150.22193025599574,0.0,550,620,680,710,850,950,1000,5700,6000,6000,6000
