timestamp,cpu_percent,rss_bytes
2025-09-17T22:08:09.845095,0.00,77246464
2025-09-17T22:08:10.849496,0.00,81149952
2025-09-17T22:08:11.853700,0.00,81149952
2025-09-17T22:08:12.871333,65.80,91635712
2025-09-17T22:08:14.116305,126.10,97931264
2025-09-17T22:08:15.239738,138.00,89903104
2025-09-17T22:08:16.553714,125.60,90583040
2025-09-17T22:08:17.871143,122.20,86704128
2025-09-17T22:08:19.051123,133.10,86708224
2025-09-17T22:08:20.409082,141.40,88621056
2025-09-17T22:08:21.856992,120.90,86740992
2025-09-17T22:08:23.200703,128.00,86855680
2025-09-17T22:08:24.435207,139.30,86990848
2025-09-17T22:08:25.634701,125.90,87244800
2025-09-17T22:08:26.828634,129.00,87261184
2025-09-17T22:08:28.100114,148.60,87232512
2025-09-17T22:08:29.332681,131.40,87425024
2025-09-17T22:08:30.666106,130.50,91410432
2025-09-17T22:08:32.006251,126.90,91762688
2025-09-17T22:08:33.186570,131.90,94191616
2025-09-17T22:08:34.418940,127.40,96206848
2025-09-17T22:08:35.622154,138.00,96145408
2025-09-17T22:08:36.928713,119.40,96165888
2025-09-17T22:08:38.041628,132.10,94081024
2025-09-17T22:08:39.387216,149.40,94130176
2025-09-17T22:08:40.611260,129.10,92123136
2025-09-17T22:08:41.870075,128.70,98177024
2025-09-17T22:08:43.123584,129.20,98177024
2025-09-17T22:08:44.268049,136.30,100085760
2025-09-17T22:08:45.474290,129.30,100122624
2025-09-17T22:08:46.654929,135.50,98045952
2025-09-17T22:08:47.865929,134.60,98021376
2025-09-17T22:08:49.251534,124.90,98025472
2025-09-17T22:08:50.361015,140.60,98066432
2025-09-17T22:08:51.499223,127.40,98021376
2025-09-17T22:08:52.698292,128.40,98078720
2025-09-17T22:08:54.052436,146.20,96047104
2025-09-17T22:08:55.341874,116.30,96067584
2025-09-17T22:08:56.568911,143.40,96067584
2025-09-17T22:08:57.720838,127.60,96010240
2025-09-17T22:08:58.957778,138.20,95911936
2025-09-17T22:09:00.275557,126.00,95940608
2025-09-17T22:09:01.487090,134.50,95862784
2025-09-17T22:09:02.678996,146.80,96100352
2025-09-17T22:09:03.812320,128.80,96182272
2025-09-17T22:09:04.951267,138.70,96231424
2025-09-17T22:09:06.149847,124.30,96276480
2025-09-17T22:09:07.400284,136.00,96370688
2025-09-17T22:09:08.662637,123.60,96350208
2025-09-17T22:09:09.892107,129.30,96272384
2025-09-17T22:09:11.257031,138.50,96198656
