timestamp,cpu_percent,rss_bytes
2025-09-17T20:32:56.536125,0.00,78323712
2025-09-17T20:32:57.542154,0.00,78323712
2025-09-17T20:32:58.547363,0.00,78323712
2025-09-17T20:32:59.604743,43.50,78819328
2025-09-17T20:33:00.630652,102.30,82800640
2025-09-17T20:33:01.654129,106.50,82997248
2025-09-17T20:33:02.669924,122.90,78413824
2025-09-17T20:33:03.677217,94.30,80752640
2025-09-17T20:33:04.699444,118.40,80044032
2025-09-17T20:33:05.725233,121.90,84951040
2025-09-17T20:33:06.744493,97.10,80158720
2025-09-17T20:33:07.751407,113.20,81522688
2025-09-17T20:33:08.770035,117.80,80281600
2025-09-17T20:33:09.790297,121.50,81694720
2025-09-17T20:33:10.813230,43.00,82509824
2025-09-17T20:33:11.818559,1.00,82509824
2025-09-17T20:33:12.824153,0.00,82509824
2025-09-17T20:33:13.830564,0.00,82509824
2025-09-17T20:33:14.837744,0.00,82509824
2025-09-17T20:33:15.841923,0.00,82509824
2025-09-17T20:33:16.845696,0.00,82509824
2025-09-17T20:33:17.851888,0.00,82509824
2025-09-17T20:33:18.880987,0.00,82509824
2025-09-17T20:33:19.885896,0.00,82509824
2025-09-17T20:33:20.891996,0.00,82509824
2025-09-17T20:33:21.897713,1.00,82509824
2025-09-17T20:33:22.903276,0.00,82509824
2025-09-17T20:33:23.909453,0.00,82509824
2025-09-17T20:33:24.925556,0.00,82509824
2025-09-17T20:33:25.931454,0.00,82509824
2025-09-17T20:33:26.940781,0.00,82509824
2025-09-17T20:33:27.946888,0.00,82509824
2025-09-17T20:33:28.953430,0.00,82509824
2025-09-17T20:33:29.964282,1.00,82509824
2025-09-17T20:33:30.973715,0.00,82509824
2025-09-17T20:33:31.978627,0.00,82509824
2025-09-17T20:33:32.981602,0.00,82509824
2025-09-17T20:33:33.991187,0.00,82509824
2025-09-17T20:33:34.998216,0.00,82509824
2025-09-17T20:33:36.003671,0.00,82509824
2025-09-17T20:33:37.009321,0.00,82509824
2025-09-17T20:33:38.015523,0.00,82509824
2025-09-17T20:33:39.021006,1.00,82509824
2025-09-17T20:33:40.026864,0.00,82509824
2025-09-17T20:33:41.033104,23.90,88715264
2025-09-17T20:33:42.158617,96.80,83521536
2025-09-17T20:33:43.178606,103.90,80695296
2025-09-17T20:33:44.212556,122.80,81461248
2025-09-17T20:33:45.227117,123.20,82075648
2025-09-17T20:33:46.243848,119.00,85565440
2025-09-17T20:33:47.263493,136.30,88821760
2025-09-17T20:33:48.275368,81.00,84103168
2025-09-17T20:33:49.294058,128.60,84779008
2025-09-17T20:33:50.317848,97.70,83689472
2025-09-17T20:33:51.345045,120.70,80683008
2025-09-17T20:33:52.367988,121.20,81567744
2025-09-17T20:33:53.396051,161.50,84439040
2025-09-17T20:33:54.459985,119.40,82997248
2025-09-17T20:33:55.506581,121.30,84078592
2025-09-17T20:33:56.537200,154.30,82403328
2025-09-17T20:33:57.553422,55.10,79441920
2025-09-17T20:33:58.559161,89.50,81678336
2025-09-17T20:33:59.597324,18.30,79417344
