timestamp,endpoint,latency_ms,cache_hit
2025-09-17T20:31:55.891014,handshake,246.92,0
timestamp,endpoint,latency_ms,cache_hit
2025-09-17T20:31:55.914809,handshake,250.77,0
timestamp,endpoint,latency_ms,cache_hit
2025-09-17T20:31:55.914046,handshake,216.20,0
2025-09-17T20:31:55.916067,handshake,257.59,0
timestamp,endpoint,latency_ms,cache_hit
2025-09-17T20:31:55.911759,handshake,219.28,0
timestamp,endpoint,latency_ms,cache_hit
2025-09-17T20:31:55.886095,handshake,234.99,0
2025-09-17T20:31:55.912137,handshake,228.00,0
timestamp,endpoint,latency_ms,cache_hit
2025-09-17T20:31:55.908044,handshake,225.12,0
2025-09-17T20:31:55.908503,handshake,234.80,0
timestamp,endpoint,latency_ms,cache_hit
2025-09-17T20:31:55.908645,handshake,252.37,0
2025-09-17T20:31:55.911179,handshake,254.69,0
timestamp,endpoint,latency_ms,cache_hit
2025-09-17T20:31:55.907755,handshake,216.14,0
2025-09-17T20:31:55.911919,handshake,218.49,0
2025-09-17T20:31:55.932012,handshake,264.24,0
2025-09-17T20:31:55.929733,handshake,246.16,0
2025-09-17T20:31:55.937256,handshake,234.19,0
2025-09-17T20:31:55.968322,handshake,218.02,0
2025-09-17T20:31:55.942960,handshake,252.13,0
2025-09-17T20:31:55.971629,handshake,214.86,0
2025-09-17T20:31:55.945944,handshake,242.12,0
2025-09-17T20:31:55.947804,handshake,219.75,0
2025-09-17T20:31:55.970379,handshake,214.77,0
2025-09-17T20:31:55.966681,handshake,241.68,0
2025-09-17T20:31:55.969598,handshake,217.83,0
2025-09-17T20:31:55.976141,handshake,212.03,0
2025-09-17T20:31:55.971184,handshake,227.40,0
2025-09-17T20:31:55.967961,handshake,216.47,0
2025-09-17T20:31:55.977090,handshake,227.15,0
2025-09-17T20:31:55.962465,handshake,223.09,0
2025-09-17T20:31:55.972671,handshake,215.71,0
2025-09-17T20:31:55.977379,handshake,209.92,0
2025-09-17T20:31:55.977783,handshake,212.53,0
2025-09-17T20:31:55.971944,handshake,218.98,0
2025-09-17T20:31:55.973569,handshake,220.70,0
2025-09-17T20:31:55.976833,handshake,211.53,0
2025-09-17T20:31:55.969368,handshake,210.26,0
2025-09-17T20:31:55.972417,handshake,211.81,0
2025-09-17T20:31:55.970827,handshake,218.94,0
2025-09-17T20:31:55.968950,handshake,219.36,0
2025-09-17T20:31:55.976668,handshake,226.88,0
2025-09-17T20:31:55.973167,handshake,211.67,0
2025-09-17T20:31:55.977948,handshake,219.83,0
