timestamp,endpoint,latency_ms,cache_hit
2025-09-17T20:18:09.332870,handshake,223.57,0
timestamp,endpoint,latency_ms,cache_hit
2025-09-17T20:18:09.338349,handshake,216.78,0
timestamp,endpoint,latency_ms,cache_hit
2025-09-17T20:18:09.338777,handshake,223.89,0
timestamp,endpoint,latency_ms,cache_hit
2025-09-17T20:18:09.337326,handshake,228.66,0
timestamp,endpoint,latency_ms,cache_hit
2025-09-17T20:18:09.339399,handshake,235.49,0
2025-09-17T20:18:09.357351,handshake,251.76,0
2025-09-17T20:18:09.357613,handshake,234.49,0
2025-09-17T20:18:09.364724,handshake,224.17,0
2025-09-17T20:18:09.360783,handshake,230.98,0
2025-09-17T20:18:09.366093,handshake,225.37,0
2025-09-17T20:18:09.363469,handshake,227.01,0
2025-09-17T20:18:09.377415,handshake,221.93,0
2025-09-17T20:18:09.383647,handshake,238.17,0
2025-09-17T20:18:09.381068,handshake,215.95,0
2025-09-17T20:18:09.439357,handshake,236.59,0
2025-09-17T20:18:09.382207,handshake,208.71,0
2025-09-17T20:18:09.485753,handshake,227.22,0
2025-09-17T20:18:09.553451,handshake,213.01,0
2025-09-17T20:18:09.544319,handshake,221.50,0
2025-09-17T20:18:09.524665,handshake,224.28,0
2025-09-17T20:18:09.549148,handshake,210.52,0
2025-09-17T20:18:09.559026,handshake,221.18,0
2025-09-17T20:18:09.580316,handshake,242.75,0
2025-09-17T20:18:09.579428,handshake,250.08,0
2025-09-17T20:18:09.564919,handshake,275.79,0
2025-09-17T20:18:09.582912,handshake,228.22,0
2025-09-17T20:18:09.586278,handshake,284.24,0
2025-09-17T20:18:09.562497,handshake,315.22,0
2025-09-17T20:18:09.589436,handshake,232.02,0
2025-09-17T20:18:09.581206,handshake,264.10,0
2025-09-17T20:18:09.586013,handshake,250.04,0
2025-09-17T20:18:09.584728,handshake,252.06,0
2025-09-17T20:18:09.590943,handshake,238.22,0
2025-09-17T20:18:09.590698,handshake,336.59,0
2025-09-17T20:18:09.581753,handshake,268.23,0
2025-09-17T20:18:09.578393,handshake,222.79,0
2025-09-17T20:18:09.586958,handshake,250.16,0
2025-09-17T20:18:09.585729,handshake,241.07,0
2025-09-17T20:18:09.582042,handshake,241.21,0
2025-09-17T20:18:09.591310,handshake,257.45,0
2025-09-17T20:18:09.585269,handshake,254.44,0
2025-09-17T20:18:09.590451,handshake,246.35,0
2025-09-17T20:18:09.591638,handshake,285.24,0
2025-09-17T20:18:09.577956,handshake,264.33,0
2025-09-17T20:18:09.588722,handshake,245.60,0
2025-09-17T20:18:09.582368,handshake,257.53,0
2025-09-17T20:18:09.584954,handshake,233.00,0
2025-09-17T20:18:09.587551,handshake,225.55,0
2025-09-17T20:18:09.586626,handshake,223.29,0
2025-09-17T20:18:09.589006,handshake,235.76,0
2025-09-17T20:18:09.802067,handshake,308.52,0
2025-09-17T20:18:09.803355,handshake,301.90,0
2025-09-17T20:18:09.804253,handshake,274.10,0
2025-09-17T20:18:09.811668,handshake,343.80,0
2025-09-17T20:18:09.809906,handshake,256.58,0
2025-09-17T20:18:09.821870,handshake,221.02,0
2025-09-17T20:18:09.824032,handshake,221.96,0
2025-09-17T20:18:09.835789,handshake,227.08,0
2025-09-17T20:18:09.832192,handshake,209.67,0
2025-09-17T20:18:09.816047,handshake,213.83,0
2025-09-17T20:18:09.842406,handshake,223.25,0
2025-09-17T20:18:09.888111,handshake,248.04,0
2025-09-17T20:18:09.889721,handshake,254.72,0
2025-09-17T20:18:09.906209,handshake,276.75,0
2025-09-17T20:18:09.924634,handshake,223.53,0
2025-09-17T20:18:09.926472,handshake,235.47,0
2025-09-17T20:18:09.935861,handshake,217.73,0
2025-09-17T20:18:09.933754,handshake,217.92,0
2025-09-17T20:18:09.983972,handshake,221.04,0
2025-09-17T20:18:09.988256,handshake,247.13,0
2025-09-17T20:18:09.985970,handshake,222.05,0
2025-09-17T20:18:09.987693,handshake,250.70,0
2025-09-17T20:18:10.009719,handshake,224.56,0
2025-09-17T20:18:10.006921,handshake,207.83,0
2025-09-17T20:18:10.014575,handshake,215.90,0
2025-09-17T20:18:10.036971,handshake,219.27,0
2025-09-17T20:18:10.037625,handshake,224.43,0
2025-09-17T20:18:10.048372,handshake,227.38,0
2025-09-17T20:18:10.051767,handshake,213.08,0
2025-09-17T20:18:10.048644,handshake,240.82,0
2025-09-17T20:18:10.053425,handshake,226.00,0
2025-09-17T20:18:10.055403,handshake,221.41,0
2025-09-17T20:18:10.076083,handshake,218.53,0
2025-09-17T20:18:10.088117,handshake,229.34,0
2025-09-17T20:18:10.093852,handshake,219.13,0
2025-09-17T20:18:10.094862,handshake,213.27,0
2025-09-17T20:18:10.097739,handshake,219.26,0
2025-09-17T20:18:10.091330,handshake,219.41,0
2025-09-17T20:18:10.103473,handshake,210.75,0
2025-09-17T20:18:10.115652,handshake,216.48,0
2025-09-17T20:18:10.116181,handshake,212.57,0
2025-09-17T20:18:10.125343,handshake,217.59,0
