timestamp,cpu_percent,rss_bytes
2025-09-17T20:16:59.758838,0.00,52846592
2025-09-17T20:17:00.768558,0.00,52846592
2025-09-17T20:17:01.773094,0.00,52846592
2025-09-17T20:17:02.813432,13.40,59392000
2025-09-17T20:17:03.896972,115.40,53653504
2025-09-17T20:17:04.947262,114.30,53481472
2025-09-17T20:17:05.981222,120.90,55689216
2025-09-17T20:17:07.032877,116.00,53686272
2025-09-17T20:17:08.083152,113.30,53825536
2025-09-17T20:17:09.143148,117.00,53788672
2025-09-17T20:17:10.204088,115.90,53743616
2025-09-17T20:17:11.238393,115.10,53780480
2025-09-17T20:17:12.310730,114.70,53813248
2025-09-17T20:17:13.349416,113.60,53805056
2025-09-17T20:17:14.378473,103.00,55853056
2025-09-17T20:17:15.408921,115.50,54034432
2025-09-17T20:17:16.446647,115.60,54046720
2025-09-17T20:17:17.519098,111.90,55787520
2025-09-17T20:17:18.571229,115.00,53628928
2025-09-17T20:17:19.740912,116.30,56180736
2025-09-17T20:17:20.808386,114.30,54095872
2025-09-17T20:17:21.874397,116.30,53747712
2025-09-17T20:17:22.928311,109.10,55902208
2025-09-17T20:17:23.960929,111.40,53796864
2025-09-17T20:17:25.053095,117.20,53964800
2025-09-17T20:17:26.078199,111.20,58073088
2025-09-17T20:17:27.152071,113.60,54161408
2025-09-17T20:17:28.193282,116.20,53915648
2025-09-17T20:17:29.322373,124.90,54136832
2025-09-17T20:17:30.413398,110.00,53977088
2025-09-17T20:17:31.453523,113.40,54083584
2025-09-17T20:17:32.551372,116.40,54198272
2025-09-17T20:17:33.599658,115.40,54181888
2025-09-17T20:17:34.637809,110.80,53948416
2025-09-17T20:17:35.683094,117.60,54083584
2025-09-17T20:17:36.726332,128.50,62410752
2025-09-17T20:17:37.792393,116.30,54005760
2025-09-17T20:17:38.846209,115.80,54153216
2025-09-17T20:17:39.891223,114.80,54218752
2025-09-17T20:17:40.933093,113.30,54259712
2025-09-17T20:17:42.005673,124.00,56176640
2025-09-17T20:17:43.066100,113.10,54165504
2025-09-17T20:17:44.137551,113.00,53985280
2025-09-17T20:17:45.179836,117.10,58392576
2025-09-17T20:17:46.226270,109.90,54337536
2025-09-17T20:17:47.265653,112.60,56414208
2025-09-17T20:17:48.390033,114.70,54378496
2025-09-17T20:17:49.463105,117.40,54386688
2025-09-17T20:17:50.497708,125.60,54132736
2025-09-17T20:17:51.556838,114.20,53997568
2025-09-17T20:17:52.575117,109.00,53784576
2025-09-17T20:17:53.584811,110.90,54280192
2025-09-17T20:17:54.624081,112.60,54317056
2025-09-17T20:17:55.690974,133.10,56352768
2025-09-17T20:17:56.762776,113.80,54345728
2025-09-17T20:17:57.803620,129.70,54091776
2025-09-17T20:17:58.871031,122.70,54239232
2025-09-17T20:17:59.937966,116.20,54300672
2025-09-17T20:18:00.982553,141.70,56422400
2025-09-17T20:18:02.098516,102.20,53555200
2025-09-17T20:18:03.104589,1.00,53555200
