Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,validate_51200B_d5,1571,0,1400.0,1368.1453001935238,170.22097400058556,2282.8859710007237,43.452577975811586,26.419679204688077,0.0,1400,1500,1500,1600,1600,1700,1800,1900,2300,2300,2300
,Aggregated,1571,0,1400.0,1368.1453001935238,170.22097400058556,2282.8859710007237,43.452577975811586,26.419679204688077,0.0,1400,1500,1500,1600,1600,1700,1800,1900,2300,2300,2300
